Altium Designer Pick and Place Locations
C:\01_WORK\ZEROM\Lumir_Base_Board (2020-11-06 神穿 11-37-07)\Project Outputs for Lumir_Base_Board\Pick Place\Pick Place for Lumir_Base_Board.txt

========================================================================================================================
File Design Information:

Date:       10-11-20
Time:       18:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator    Comment                          Layer       Footprint                    Center-X(mm) Center-Y(mm) Rotation Description                                                                                      
R112          0R                               BottomLayer R1005                        80.2500      29.2500      360      "Chip Resistor"                                                                                  
C142          0.1uF                            TopLayer    C1608                        8.5000       40.3750      270      "Chip Capacitor Ceramic"                                                                         
C141          0.1uF                            BottomLayer C1608                        60.8750      68.0000      360      "Chip Capacitor Ceramic"                                                                         
C140          0.1uF                            TopLayer    C1608                        48.7500      69.0000      360      "Chip Capacitor Ceramic"                                                                         
U29           "ESD DIODE"                      TopLayer    ESD321                       51.5000      70.8750      90       ""                                                                                               
U28           "ESD DIODE"                      TopLayer    ESD321                       52.7500      70.8750      90       ""                                                                                               
U27           "ESD DIODE"                      TopLayer    ESD321                       54.0000      70.8750      90       ""                                                                                               
U26           "ESD DIODE"                      TopLayer    ESD321                       55.2500      70.8750      90       ""                                                                                               
U25           "ESD DIODE"                      TopLayer    ESD321                       56.5000      70.8750      90       ""                                                                                               
U24           "ESD DIODE"                      BottomLayer ESD321                       76.2500      25.2500      180      ""                                                                                               
U23           "ESD DIODE"                      BottomLayer ESD321                       76.2500      26.5000      180      ""                                                                                               
U22           "ESD DIODE"                      BottomLayer ESD321                       76.2500      27.7500      180      ""                                                                                               
TP30          1mm                              BottomLayer TP_SMD_0.8                   73.7446      66.3420      90       "Testpoint 1mm"                                                                                  
TP29          1mm                              BottomLayer TP_SMD_0.8                   75.2446      66.3420      90       "Testpoint 1mm"                                                                                  
R120          260                              BottomLayer R1005                        25.9250      1.7500       360      "Chip Resistor"                                                                                  
R119          260                              BottomLayer R1005                        30.1750      1.7500       360      "Chip Resistor"                                                                                  
R68           0R                               BottomLayer R1005                        26.0000      51.0250      180      "Chip Resistor"                                                                                  
R38           260                              BottomLayer R1005                        3.1250       32.5000      270      "Chip Resistor"                                                                                  
R34           0R                               BottomLayer R1005                        51.5000      70.8750      90       "Chip Resistor"                                                                                  
R33           0R                               BottomLayer R1005                        52.7500      70.8750      90       "Chip Resistor"                                                                                  
R32           0R                               BottomLayer R1005                        54.0000      70.8750      90       "Chip Resistor"                                                                                  
LD7           ""                               TopLayer    LED1608                      25.5500      1.7500       180      "Chip LED Lamp"                                                                                  
LD6           ""                               TopLayer    LED1608                      29.8000      1.7500       180      "Chip LED Lamp"                                                                                  
LD5           ""                               TopLayer    LED1608                      1.5000       32.5000      90       "Chip LED Lamp"                                                                                  
C137          "0.1uF (6.3V)"                   BottomLayer C1608                        23.5000      53.1250      180      "Chip Capacitor Ceramic"                                                                         
C136          "0.1uF (6.3V)"                   BottomLayer C1608                        18.3750      53.1250      360      "Chip Capacitor Ceramic"                                                                         
C36           0.22uF                           BottomLayer C1005                        24.8750      40.5000      90       "Chip Capacitor Ceramic"                                                                         
C35           0.22uF                           BottomLayer C1005                        23.8750      40.5000      90       "Chip Capacitor Ceramic"                                                                         
C34           0.22uF                           BottomLayer C1005                        22.7500      44.5000      90       "Chip Capacitor Ceramic"                                                                         
C33           0.22uF                           BottomLayer C1005                        21.7500      44.5000      90       "Chip Capacitor Ceramic"                                                                         
C32           0.22uF                           BottomLayer C1005                        18.5000      44.5000      90       "Chip Capacitor Ceramic"                                                                         
C31           0.22uF                           BottomLayer C1005                        17.5000      44.5000      90       "Chip Capacitor Ceramic"                                                                         
C30           0.22uF                           BottomLayer C1005                        18.5000      40.5000      90       "Chip Capacitor Ceramic"                                                                         
C29           0.22uF                           BottomLayer C1005                        17.5000      40.5000      90       "Chip Capacitor Ceramic"                                                                         
BD5           *                                BottomLayer L1608                        73.0000      52.0000      180      BEAD                                                                                             
J8            HEADER3                          BottomLayer HEADER1X3                    83.5000      64.8350      270      "HEADER3 2.54MM"                                                                                 
TP28          1mm                              TopLayer    TP_SMD_0.8                   58.0000      75.0000      270      "Testpoint 1mm"                                                                                  
TP27          1mm                              TopLayer    TP_SMD_0.8                   55.0000      75.0000      270      "Testpoint 1mm"                                                                                  
TP22          1mm                              TopLayer    TP_SMD_0.8                   56.5000      75.0003      270      "Testpoint 1mm"                                                                                  
TP21          1mm                              TopLayer    TP_SMD_0.8                   53.5000      75.0000      270      "Testpoint 1mm"                                                                                  
TP19          1mm                              TopLayer    TP_SMD_0.8                   52.0000      75.0000      270      "Testpoint 1mm"                                                                                  
U20           NW-A1.25-6A                      BottomLayer NW-A1.25-6A                  53.5000      73.5000      180      "6pin 1.25mm"                                                                                    
U19           NW-A1.25-6A                      BottomLayer NW-A1.25-6A                  83.7500      31.0000      270      "6pin 1.25mm"                                                                                    
